doc_no,sentence_no,word,tag
2803,9,ağrısı,NOUN
2803,9,nedenlerden,NOUN
2803,9,sadece,ADV
2803,9,biri.,NOUN
2803,10,Hastanın,NOUN
2803,10,stresli,NOUN
2803,10,durumu,NOUN
2803,10,günlük,NOUN
2803,10,yaşam,NOUN
2803,10,şartları,NOUN
2803,10,veya,CONJ
2803,10,migren,NOUN
2803,10,türü,NOUN
2803,10,baş,NOUN
2803,10,ağrıları,NOUN
2803,10,bu,DET
2803,10,dönemlerde,NOUN
2803,10,çok,ADJ
2803,10,arttığı,ADJ
2803,10,için,ADP
2803,10,hastalar,NOUN
2803,10,hemen,ADV
2803,10,sinüzitle,NOUN
2803,10,ilgili,ADJ
2803,10,şikayetim,NOUN
2803,10,var,VERB
2803,10,diye,ADP
2803,10,geliyor,VERB
2803,10,şeklinde,NOUN
2803,10,konuştu.,VERB
2803,11,İkinci,ADJ
2803,11,grup,NOUN
2803,11,hastaların,NOUN
2803,11,uzun,ADJ
2803,11,zamanlı,NOUN
2803,11,burun,NOUN
2803,11,akıntısı,NOUN
2803,11,şikayetiyle,NOUN
2803,11,geldiğini,ADJ
2803,11,belirten,ADJ
2803,11,Dursun,NOUN
2803,11,Hastalar,NOUN
2803,11,benim,PRON
2803,11,uzun,ADJ
2803,11,zamandır,NOUN
2803,11,burun,NOUN
2803,11,akıntım,NOUN
2803,11,var.,VERB
2803,12,Çok,ADJ
2803,12,uzun,ADJ
2803,12,zamandan,NOUN
2803,12,beri,ADV
2803,12,sinüzitim,NOUN
2803,12,var,VERB
2803,12,diye,ADP
2803,12,geliyorlar.,VERB
2803,13,Ayrıntılı,NOUN
2803,13,olarak,ADP
2803,13,endoskopi,NOUN
2803,13,muayene,NOUN
2803,13,veya,CONJ
2803,13,radyolojik,NOUN
2803,13,tetkiklerle,NOUN
2803,13,değerlendirdiğimiz,ADJ
2803,13,zaman,NOUN
2803,13,aslında,NOUN
2803,13,hastaların,NOUN
2803,13,büyük,ADJ
2803,13,çoğunluğunun,NOUN
2803,13,şikayetlerinin,NOUN
2803,13,alerjiye,NOUN
2803,13,bağlı,ADJ
2803,13,olduğunu,ADJ
2803,13,görüyoruz.,VERB
2803,14,Bu,DET
2803,14,iki,ADJ
2803,14,ayrım,NOUN
2803,14,iyi,ADJ
2803,14,yapıldıktan,VERB
2803,14,sonra,ADV
2803,14,tedavi,NOUN
2803,14,planlanmalı,VERB
2803,14,dedi.,VERB
2803,15,Hastaların,NOUN
2803,15,şikayetleri,NOUN
2803,15,olunca,ADV
2803,15,hemen,ADV
2803,15,bir,DET
2803,15,eczaneye,NOUN
2803,15,gidip,ADV
2803,15,ağrı,NOUN
2803,15,kesici,NOUN
2803,15,aldığını,ADJ
2803,15,kaydeden,ADJ
2803,15,Dursun,NOUN
2803,15,şunları,PRON
2803,15,söyledi.,VERB
2803,16,Bazen,CONJ
2803,16,işe,NOUN
2803,16,yarıyor.,VERB
2803,17,Bir,DET
2803,17,gribal,NOUN
2803,17,enfeksiyon,NOUN
2803,17,geçiriyorsanız,VERB
2803,17,veya,CONJ
2803,17,burun,NOUN
2803,17,akıntısı,NOUN
2803,17,buna,PRON
2803,17,bağlı,ADJ
2803,17,ise,CONJ
2803,17,eczaneye,NOUN
2803,17,gittiğinizde,ADJ
2803,17,size,PRON
2803,17,antigribal,NOUN
2803,17,ilaçlar,VERB
2803,17,veriliyor.,VERB
2803,18,Bir,DET
2803,18,kısmı,NOUN
2803,18,bu,DET
2803,18,şikayetleri,NOUN
2803,18,azaltabiliyor.,VERB
2803,19,Fakat,CONJ
2803,19,bu,DET
2803,19,hastaların,NOUN
2803,19,üzerine,ADV
2803,19,bir,DET
2803,19,sinüzit,NOUN
2803,19,veya,CONJ
2803,19,altta,ADJ
2803,19,yatan,ADJ
2803,19,başka,ADJ
2803,19,faktörler,NOUN
2803,19,varsa,VERB
2803,19,muayene,NOUN
2803,19,edilmeden,ADV
2803,19,ilaç,NOUN
2803,19,başlanması,NOUN
2803,19,daha,NOUN
2803,19,sonra,ADV
2803,19,gelişebilecek,ADJ
2803,19,komplikasyon,NOUN
2803,19,veya,CONJ
2803,19,ileri,ADJ
2803,19,hastalıkları,NOUN
2803,19,atlamamıza,NOUN
2803,19,tedavinin,NOUN
2803,19,gecikmesine,NOUN
2803,19,neden,NOUN
2803,19,olabiliyor.,VERB
2803,20,Karadeniz,NOUN
2803,20,Bölgesi'nde,NOUN
2803,20,burunla,NOUN
2803,20,ilgili,ADJ
2803,20,alerjik,ADJ
2803,20,hastalıkların,NOUN
2803,20,çok,ADJ
2803,20,yaygın,ADJ
2803,20,olduğunu,ADJ
2803,20,belirten,ADJ
2803,20,Dursun,NOUN
2803,20,şöyle,ADV
2803,20,devam,NOUN
2803,20,etti.,VERB
2803,20,Alerjik,NOUN
2803,21,rahatsızlıkları,NOUN
2803,21,bulunan,ADJ
2803,21,hastaların,NOUN
2803,21,büyük,ADJ
2803,21,bir,DET
2803,21,kısmında,NOUN
2803,21,burun,NOUN
2803,21,tıkanıklığı,NOUN
2803,21,burun,NOUN
2803,21,akıntısı,NOUN
2803,21,hapşırık,NOUN
2803,21,ve,CONJ
2803,21,buna,PRON
2803,21,benzer,ADJ
2803,21,şikayetler,NOUN
2803,21,var.,VERB
2803,22,Bu,DET
2803,22,hastaların,NOUN
2803,22,bir,DET
2803,22,kısmında,NOUN
2803,22,aynı,ADJ
2803,22,zamanda,NOUN
2803,22,burun,NOUN
2803,22,içerisinde,NOUN
2803,22,eğrilikler,NOUN
2803,22,mevcut.,NOUN
2803,23,Halk,NOUN
2803,23,arasında,NOUN
2803,23,burnunda,NOUN
2803,23,kemik,NOUN
2803,23,var,VERB
2803,23,eğriliğim,NOUN
2803,23,var,VERB
2803,23,diyen,VERB
2803,23,hastaların,NOUN
2803,23,büyük,ADJ
2803,23,bir,ADV
2803,23,grubunda,NOUN
2803,23,alerji,NOUN
2803,23,de,CONJ
2803,23,var.,VERB
2803,24,Bu,DET
2803,24,iki,ADJ
2803,24,hasta,ADJ
2803,24,grubunu,NOUN
2803,24,iyi,ADJ
2803,24,değerlendirmek,NOUN
2803,24,lazım.,NOUN
2803,25,Alerjileri,NOUN
2803,25,yoksa,CONJ
2803,25,burun,NOUN
2803,25,eğriliğinin,NOUN
2803,25,düzeltilmesi,NOUN
2803,25,hastaların,NOUN
2803,25,büyük,ADJ
2803,25,oranda,NOUN
2803,25,sıkıntılarını,NOUN
2803,25,gideriyor.,VERB
2803,26,Eğrilikle,NOUN
2803,26,birlikte,ADV
2803,26,alerji,NOUN
2803,26,problemi,NOUN
2803,26,de,CONJ
2803,26,olan,ADJ
2803,26,hastalarla,NOUN
2803,26,ameliyat,NOUN
2803,26,öncesi,NOUN
2803,26,konuşmak,NOUN
2803,26,gerektiğini,ADJ
2803,26,dile,NOUN
2803,26,getiren,ADJ
2803,26,Dursun,NOUN
2803,26,şunları,PRON
2803,26,kaydetti.,VERB
2803,27,Hastalar,NOUN
2803,27,ameliyattan,NOUN
2803,27,sonra,ADV
2803,27,alerjiye,NOUN
2803,27,bağlı,ADJ
2803,27,şikayetlerinde,NOUN
2803,27,çok,ADJ
2803,27,büyük,ADJ
2803,27,düzelme,NOUN
2803,27,hatta,CONJ
2803,27,geçme,ADJ
2803,27,beklentisinde,NOUN
2803,27,oluyor.,VERB
2803,28,Hastaları,NOUN
2803,28,bu,DET
2803,28,beklentiye,NOUN
2803,28,sokmamak,NOUN
2803,28,lazım.,NOUN
2803,29,Çünkü,CONJ
2803,29,alerjik,ADJ
2803,29,hastalıklar,NOUN
2803,29,da,CONJ
2803,29,şeker,NOUN
2803,29,yüksek,ADJ
2803,29,tansiyon,NOUN
2803,29,hastalıkları,NOUN
2803,29,gibi,ADP
2803,29,sistemik,ADJ
2803,29,hastalıklar,NOUN
2803,29,bu,DET
2803,29,hastalıkları,NOUN
2803,29,ameliyatla,NOUN
2803,29,tedavi,NOUN
2803,29,etmek,VERB
2803,29,mümkün,ADJ
2803,29,değil.,NOUN
2803,30,Burun,VERB
2803,30,eğriliklerini,NOUN
2803,30,düzeltmekle,VERB
2803,30,hastaların,NOUN
2803,30,yaşam,NOUN
2803,30,kalitelerini,NOUN
2803,30,son,ADJ
2803,30,derece,NOUN
2803,30,artırıyoruz.,VERB
2803,31,Ardından,ADV
2803,31,bu,DET
2803,31,hastalar,NOUN
2803,31,alerjiye,NOUN
2803,31,bağlı,ADJ
2803,31,ilaçlarını,NOUN
2803,31,da,CONJ
2803,31,kullandıkları,ADJ
2803,31,zaman,NOUN
2803,31,son,ADJ
2803,31,derece,NOUN
2803,31,rahatlıyor.,VERB
2803,32,Prof,NOUN
2803,32,Dr,NOUN
2803,32,Engin,NOUN
2803,32,Dursun,NOUN
2803,32,uzun,ADJ
2803,32,süreli,NOUN
2803,32,şikayetleri,NOUN
2803,32,olan,ADJ
2803,32,kişilerin,NOUN
2803,32,mutlaka,ADV
2803,32,alerji,NOUN
2803,32,testlerini,NOUN
2803,32,yaptırması,NOUN
2803,32,buna,PRON
2803,32,göre,ADV
2803,32,tedaviye,NOUN
2803,32,başlaması,NOUN
2803,32,gerektiğini,ADJ
2803,32,vurgulayarak,ADV
2803,32,şu,PRON
2803,32,uyarılarda,NOUN
2803,32,bulundu.,VERB
2803,33,Bu,DET
2803,33,tür,NOUN
2803,33,rahatsızlığı,NOUN
2803,33,bulunan,ADJ
2803,33,hastalar,NOUN
2803,33,çamaşır,NOUN
2803,33,suyu,NOUN
2803,33,deterjanlar,NOUN
2803,33,çok,ADJ
2803,33,tozlu,NOUN
2803,33,ve,CONJ
2803,33,nemli,ADJ
2803,33,ortamlardan,NOUN
2803,33,uzak,ADJ
2803,33,durmalı.,VERB
2803,34,Alerjik,ADJ
2803,34,hastaların,NOUN
2803,34,yataklarını,NOUN
2803,34,belli,ADJ
2803,34,bir,DET
2803,34,düzen,NOUN
2803,34,içerisinde,NOUN
2803,34,mutlaka,ADV
2803,34,temizlemeleri,NOUN
2803,34,odalarını,NOUN
2803,34,havalandırmaları,NOUN
2803,34,gerekir.,VERB
2803,35,Deterjanlar,NOUN
2803,35,bu,DET
2803,35,hastalarda,NOUN
2803,35,zaman,NOUN
2803,35,zaman,PRT
2803,35,ciddi,ADJ
2803,35,sıkıntılara,NOUN
2803,35,neden,NOUN
2803,35,olabiliyor.,VERB
2803,36,Evlerde,NOUN
2803,36,veya,CONJ
2803,36,çalışılan,ADJ
2803,36,yerlerde,NOUN
2803,36,halılar,NOUN
2803,36,da,CONJ
2803,36,sorun,NOUN
2803,36,oluşturabiliyor.,VERB
2803,37,Bu,DET
2803,37,tür,NOUN
2803,37,rahatsızlığı,NOUN
2803,37,bulunanların,ADJ
2803,37,özellikle,ADV
2803,37,kış,NOUN
2803,37,mevsiminde,NOUN
2803,37,doğal,ADJ
2803,37,besinlerle,NOUN
2803,37,vücut,NOUN
2803,37,dirençlerini,NOUN
2803,37,çok,ADJ
2803,37,yüksek,ADJ
2803,37,tutmaları,NOUN
2803,37,gerekiyor.,VERB
2804,0,Nil,NOUN
2804,0,Koleji,NOUN
2804,0,Obeziteyle,NOUN
2804,0,Mücadele,NOUN
2804,0,Başlattı.,VERB
2804,1,Diyarbakır'da,NOUN
2804,1,faaliyet,NOUN
2804,1,gösteren,ADJ
2804,1,Özel,ADJ
2804,1,Nil,NOUN
2804,1,İlköğretim,NOUN
2804,1,Okulu,NOUN
2804,1,çağın,NOUN
2804,1,hastalığı,NOUN
2804,1,olarak,ADP
2804,1,kabul,NOUN
2804,1,edilen,ADJ
2804,1,obeziteyle,NOUN
2804,1,mücadele,NOUN
2804,1,başlattı.,VERB
2804,2,Diyarbakır'da,NOUN
2804,2,faaliyet,NOUN
2804,2,gösteren,ADJ
2804,2,Özel,ADJ
2804,2,Nil,NOUN
2804,2,İlköğretim,NOUN
2804,2,Okulu,NOUN
2804,2,çağın,VERB
2804,2,hastalığı,NOUN
2804,2,olarak,ADP
2804,2,kabul,NOUN
2804,2,edilen,VERB
2804,2,obeziteyle,NOUN
2804,2,mücadele,NOUN
2804,2,başlattı.,VERB
2804,3,Okul,NOUN
2804,3,yönetimi,NOUN
2804,3,bilim,NOUN
2804,3,adamlarının,NOUN
2804,3,günümüzde,NOUN
2804,3,ülkelerin,NOUN
2804,3,en,ADV
2804,3,önemli,NOUN
2804,3,sağlık,NOUN
2804,3,sorunu,NOUN
2804,3,olarak,ADP
2804,3,tanımladığı,ADJ
2804,3,hastalığa,NOUN
2804,3,karşı,NOUN
2804,3,öğrenci,NOUN
2804,3,ve,CONJ
2804,3,velilerle,NOUN
2804,3,işbirliği,NOUN
2804,3,yaptı.,VERB
2804,4,Özel,ADJ
2804,4,Nil,NOUN
2804,4,İlköğretim,NOUN
2804,4,Okulu,NOUN
2804,4,Müdürü,NOUN
2804,4,Ali,NOUN
2804,4,Pehlivan,NOUN
2804,4,yaptığı,ADJ
2804,4,açıklamada,NOUN
2804,4,abur,NOUN
2804,4,cubur,PRT
2804,4,yeme,NOUN
2804,4,başta,NOUN
2804,4,olmak,VERB
2804,4,üzere,ADV
2804,4,dengesiz,ADJ
2804,4,tek,ADJ
2804,4,tip,NOUN
2804,4,beslenme,NOUN
2804,4,doğal,ADJ
2804,4,olmayan,ADJ
2804,4,ürünlerle,NOUN
2804,4,beslenme,NOUN
2804,4,öğün,NOUN
2804,4,atlama,NOUN
2804,4,ve,CONJ
2804,4,porsiyonların,NOUN
2804,4,büyümesi,NOUN
2804,4,gibi,ADP
2804,4,faktörlerin,NOUN
2804,4,obezitenin,NOUN
2804,4,nedenleri,NOUN
2804,4,arasında,NOUN
2804,4,yer,NOUN
2804,4,aldığını,ADJ
2804,4,söyledi.,VERB
2804,5,Beslenmenin,NOUN
2804,5,anne,NOUN
2804,5,karnından,NOUN
2804,5,başlayarak,ADV
2804,5,yaşamın,NOUN
2804,5,sonlandığı,ADJ
2804,5,ana,NOUN
2804,5,kadar,ADP
2804,5,devam,NOUN
2804,5,eden,ADJ
2804,5,vazgeçilmez,VERB
2804,5,bir,DET
2804,5,ihtiyaç,NOUN
2804,5,olduğunu,ADJ
2804,5,hatırlatan,ADJ
2804,5,Pehlivan,NOUN
2804,5,Sağlıklı,NOUN
2804,5,bir,DET
2804,5,yaşam,NOUN
2804,5,sürdürmek,VERB
2804,5,için,ADP
2804,5,alınan,ADJ
2804,5,enerji,NOUN
2804,5,ile,CONJ
2804,5,harcanan,ADJ
2804,5,enerjinin,NOUN
2804,5,dengede,NOUN
2804,5,tutulması,NOUN
2804,5,gerekmektedir.,VERB
2804,6,Biz,PRON
2804,6,de,CONJ
2804,6,okul,NOUN
2804,6,olarak,ADP
2804,6,bir,ADJ
2804,6,dizi,NOUN
2804,6,önlem,NOUN
2804,6,aldık.,VERB
2804,7,Yaşamın,NOUN
2804,7,ve,CONJ
2804,7,okulun,NOUN
2804,7,içerisine,NOUN
2804,7,aktivite,NOUN
2804,7,kattık.,VERB
2804,8,Günlük,NOUN
2804,8,bedensel,ADJ
2804,8,aktiviteleri,NOUN
2804,8,ders,NOUN
2804,8,içi,NOUN
2804,8,ve,CONJ
2804,8,ders,NOUN
2804,8,dışı,NOUN
2804,8,faaliyetlere,NOUN
2804,8,yaydık.,VERB
2804,9,Özellikle,ADV
2804,9,yemekten,NOUN
2804,9,sonra,ADV
2804,9,yürüyüş,NOUN
2804,9,ve,CONJ
2804,9,kondisyon,NOUN
2804,9,aletleriyle,NOUN
2804,9,teneffüslerde,NOUN
2804,9,kalori,NOUN
2804,9,yakmanın,NOUN
2804,9,yolunu,NOUN
2804,9,açtık.,VERB
2804,10,Yemek,NOUN
2804,10,menülerini,NOUN
2804,10,çocukların,NOUN
2804,10,ihtiyaç,NOUN
2804,10,duyacakları,ADJ
2804,10,kalori,NOUN
2804,10,miktarına,NOUN
2804,10,göre,ADV
2804,10,ayarladık.,VERB
2804,11,Okul,NOUN
2804,11,kantininde,NOUN
2804,11,gazlı,ADJ
2804,11,ve,CONJ
2804,11,zararlı,ADJ
2804,11,meşrubat,NOUN
2804,11,cips,NOUN
2804,11,gibi,ADP
2804,11,ürünlerin,NOUN
2804,11,satışını,NOUN
2804,11,engelledik.,VERB
2804,12,Zaman,NOUN
2804,12,içerisinde,NOUN
2804,12,aldığımız,ADJ
2804,12,önlemlerin,NOUN
2804,12,neticesi,NOUN
2804,12,ortaya,NOUN
2804,12,çıkacaktır.,VERB
2804,13,Sağlıklı,NOUN
2804,13,bir,ADJ
2804,13,nesil,NOUN
2804,13,mutlu,ADJ
2804,13,bir,ADJ
2804,13,aile,NOUN
2804,13,sağlıklı,NOUN
2804,13,bir,ADJ
2804,13,toplum,NOUN
2804,13,hedeflemekteyiz,VERB
2804,13,dedi.,VERB
2804,14,Ali,NOUN
2804,14,Pehlivan,NOUN
2804,14,Dicle,NOUN
2804,14,Üniversitesi,NOUN
2804,14,ile,ADP
2804,14,de,CONJ
2804,14,işbirliği,NOUN
2804,14,yaparak,ADV
2804,14,bilimsel,ADJ
2804,14,anlamda,NOUN
2804,14,yardım,NOUN
2804,14,alma,NOUN
2804,14,süreci,NOUN
2804,14,takip,NOUN
2804,14,etme,VERB
2804,14,ve,CONJ
2804,14,bununla,PRON
2804,14,ilgili,ADJ
2804,14,öğrenci,NOUN
2804,14,ve,CONJ
2804,14,velilere,NOUN
2804,14,seminer,NOUN
2804,14,vermenin,NOUN
2804,14,de,CONJ
2804,14,programlarında,NOUN
2804,14,olduğunu,VERB
2804,14,kaydetti,VERB
2804,14,.,.
2000,0,AB'den,NOUN
2000,0,İran,NOUN
2000,0,gazına,NOUN
2000,0,yasak,NOUN
2000,0,AB,NOUN
2000,0,dışişleri,NOUN
2000,0,bakanları,NOUN
2000,0,şüphe,NOUN
2000,0,uyandıran,ADJ
2000,0,nükleer,NOUN
2000,0,programıyla,NOUN
2000,0,ilgili,NOUN
2000,0,uluslararası,NOUN
2000,0,yükümlülüklerini,NOUN
2000,0,yerine,NOUN
2000,0,getirmemekle,NOUN
2000,0,suçladıkları,VERB
2000,0,İran'dan,NOUN
2000,0,doğalgaz,NOUN
2000,0,ithalini,NOUN
2000,0,yasakladı,VERB
2000,0,.,.
2000,1,Lüksemburg'da,NOUN
2000,1,toplanan,ADJ
2000,1,AB,NOUN
2000,1,dışişleri,NOUN
2000,1,bakanlarının,NOUN
2000,1,onayladığı,ADJ
2000,1,İran'a,NOUN
2000,1,ilave,NOUN
2000,1,yaptırım,NOUN
2000,1,kararlarıyla,NOUN
2000,1,nükleer,NOUN
2000,1,faaliyetlerde,NOUN
2000,1,ya,CONJ
2000,1,da,CONJ
2000,1,balistik,NOUN
2000,1,füzelerde,NOUN
2000,1,kullanılan,ADJ
2000,1,grafit,NOUN
2000,1,alüminyum,NOUN
2000,1,ve,CONJ
2000,1,çelik,ADJ
2000,1,gibi,ADP
2000,1,metaller,NOUN
2000,1,ve,CONJ
2000,1,endüstriyel,NOUN
2000,1,yazılımların,NOUN
2000,1,bu,DET
2000,1,ülkeye,NOUN
2000,1,satışı,NOUN
2000,1,durduruldu,VERB
2000,1,.,.
2000,2,İlave,NOUN
2000,2,yaptırımlarla,NOUN
2000,2,İran,NOUN
2000,2,hükümetine,NOUN
2000,2,önemli,NOUN
2000,2,finansman,NOUN
2000,2,sağlayan,VERB
2000,2,34,NUM
2000,2,şirket,NOUN
2000,2,ve,CONJ
2000,2,kuruluşun,NOUN
2000,2,AB'deki,NOUN
2000,2,mal,NOUN
2000,2,varlıkları,NOUN
2000,2,donduruldu,VERB
2000,3,AB,NOUN
2000,3,dışişleri,NOUN
2000,3,bakanları,NOUN
2000,3,insani,NOUN
2000,3,ihtiyaçlara,NOUN
2000,3,yönelik,ADP
2000,3,olanlar,VERB
2000,3,hariç,NOUN
2000,3,Avrupalı,NOUN
2000,3,finans,NOUN
2000,3,kuruluşlarının,NOUN
2000,3,İran,NOUN
2000,3,bankalarıyla,NOUN
2000,3,tüm,DET
2000,3,işlemlerini,NOUN
2000,3,yasakladı,ADJ
2000,3,ve,CONJ
2000,3,İran,NOUN
2000,3,Merkez,NOUN
2000,3,Bankası'na,NOUN
2000,3,yönelik,ADP
2000,3,kısıtlamaları,VERB
2000,3,genişletti,VERB
2000,3,.,.
2000,4,yaptırımlarla,NOUN
2000,4,AB,NOUN
2000,4,tankerlerinin,NOUN
2000,4,İran,NOUN
2000,4,için,ADP
2000,4,petrol,NOUN
2000,4,ve,CONJ
2000,4,ürünlerini,NOUN
2000,4,taşımaları,VERB
2000,4,ve,CONJ
2000,4,AB,NOUN
2000,4,şirketlerinin,NOUN
2000,4,gemi,NOUN
2000,4,inşa,NOUN
2000,4,sektöründe,NOUN
2000,4,İran'la,NOUN
2000,4,iş,NOUN
2000,4,yapmaları,NOUN
2000,4,yasaklandı,VERB
2000,4,.,.
2000,5,AB,NOUN
2000,5,dışişleri,NOUN
2000,5,bakanlarının,NOUN
2000,5,kararlarında,NOUN
2000,5,ilave,NOUN
2000,5,yaptırımların,NOUN
2000,5,İran,NOUN
2000,5,halkı,NOUN
2000,5,yerine,ADP
2000,5,yönetimin,NOUN
2000,5,nükleer,NOUN
2000,5,programını,NOUN
2000,5,hedeflediği,ADJ
2000,5,belirtilerek,ADV
2000,5,bunları,PRON
2000,5,sona,NOUN
2000,5,erdirmenin,NOUN
2000,5,Tahran,NOUN
2000,5,rejiminin,NOUN
2000,5,elinde,NOUN
2000,5,olduğu,ADJ
2000,5,aksi,ADJ
2000,5,halde,NOUN
2000,5,yeni,ADJ
2000,5,yaptırımlara,NOUN
2000,5,gidileceği,VERB
2000,5,vurgulandı,VERB
2000,5,.,.
2000,6,İran'ın,NOUN
2000,6,halihazırda,NOUN
2000,6,AB'ye,NOUN
2000,6,doğalgaz,NOUN
2000,6,ihracatı,NOUN
2000,6,bulunmuyor,VERB
2000,6,.,.
2001,0,Meksika'nın,NOUN
2001,0,güneyinde,NOUN
2001,0,şiddetli,NOUN
2001,0,bir,DET
2001,0,deprem,NOUN
2001,0,meydana,NOUN
2001,0,geldi,VERB
2001,0,.,.
2001,1,Richter,NOUN
2001,1,ölçeğine,NOUN
2001,1,göre,ADP
2001,1,6.0,NUM
2001,1,büyüklüğündeki,NOUN
2001,1,sarsıntının,NOUN
2001,1,merkez,NOUN
2001,1,üssünün,NOUN
2001,1,güneydeki,NOUN
2001,1,Teloloapan,NOUN
2001,1,şehri,NOUN
2001,1,yakınlarında,NOUN
2001,1,olduğu,ADJ
2001,1,belirtildi,VERB
2001,1,.,.
2001,2,Sabaha,NOUN
2001,2,karşı,ADP
2001,2,meydana,NOUN
2001,2,gelen,ADJ
2001,2,deprem,NOUN
2001,2,başkent,NOUN
2001,2,Mexico,NOUN
2001,2,City'de,NOUN
2001,2,de,CONJ
2001,2,paniğe,NOUN
2001,2,sebep,NOUN
2001,2,oldu,VERB
2001,2,.,.
2002,0,İsrail'den,NOUN
2002,0,mahkumları,NOUN
2002,0,ziyaret,NOUN
2002,0,yasağı,NOUN
2002,0,Ramallah'taki,NOUN
2002,0,Filistin,NOUN
2002,0,Yönetimi,NOUN
2002,0,İsrail,NOUN
2002,0,Hapishane,NOUN
2002,0,İdaresi'nin,NOUN
2002,0,ziyaretler,NOUN
2002,0,için,ADP
2002,0,tanınan,ADJ
2002,0,deneme,NOUN
2002,0,süresinin,NOUN
2002,0,sona,NOUN
2002,0,erdiği,ADJ
2002,0,gerekçesiyle,NOUN
2002,0,mahkumların,NOUN
2002,0,yakınları,NOUN
2002,0,tarafından,ADV
2002,0,ziyaret,NOUN
2002,0,edilmesini,NOUN
2002,0,engellediğini,ADJ
2002,0,belirtti,VERB
2002,0,.,.
2002,1,Ramallah'taki,NOUN
2002,1,Filistin,NOUN
2002,1,Yönetimi'nde,NOUN
2002,1,Esirler,NOUN
2002,1,Bakanı,NOUN
2002,1,İsa,NOUN
2002,1,Karaki,NOUN
2002,1,AA,NOUN
2002,1,muhabirine,NOUN
2002,1,yaptığı,VERB
2002,1,açıklamada,NOUN
2002,1,Gazze,NOUN
2002,1,Bölgesi'ndeki,NOUN
2002,1,hapishanelerde,NOUN
2002,1,bulunan,VERB
2002,1,444,NUM
2002,1,Filistinli,ADJ
2002,1,tutuklunun,NOUN
2002,1,İsrail,NOUN
2002,1,Hapishane,NOUN
2002,1,İdaresi'nce,NOUN
2002,1,ziyaretler,NOUN
2002,1,için,ADP
